S.no,Cadmium,Chromium,Copper,Nickel,Lead,Zinc,Classification
72,0.238,5.57,24.1,3.39,116.0,13.4,Not Organic but fit for cultivation
73,0.304,7.83,64.0,6.09,244.0,24.3,Not Organic but fit for cultivation
74,0.293,1.69,2.15,1.57,27.1,17.3,Organic
75,0.312,2.71,6.24,1.75,40.2,29.2,Organic
76,0.188,2.46,4.37,2.16,36.6,20.1,Organic
77,0.058,28.4,13.1,16.8,22.6,66.6,Not Organic but fit for cultivation
78,0.325,35.0,48.8,42.2,239.0,150.0,Not Organic but fit for cultivation
79,0.213,33.4,31.4,38.6,141.0,142.0,Not Organic but fit for cultivation
80,0.275,31.0,9.88,12.8,21.1,65.4,Not Organic but fit for cultivation
81,0.211,57.7,11.5,24.2,26.0,86.8,Not Organic but fit for cultivation
82,1.25,2.69,24.5,5.06,347.0,122.0,Not Organic but fit for cultivation
83,0.741,4.58,40.2,5.12,406.0,73.6,Not Organic but fit for cultivation
84,0.216,21.1,25.2,16.2,58.6,74.8,Not Organic but fit for cultivation
85,0.195,20.3,20.5,14.7,42.3,90.9,Not Organic but fit for cultivation
86,0.212,6.71,10.5,3.98,56.0,26.8,Organic
87,0.567,2.3,6.73,2.75,41.1,69.1,Not Organic but fit for cultivation
88,0.152,30.3,19.1,16.6,16.9,54.4,Avoid Pesticide
89,0.223,30.0,14.7,16.2,28.7,59.6,Not Organic but fit for cultivation
90,0.119,20.2,12.2,4.88,30.9,38.4,Organic
91,0.204,20.0,44.5,9.9,40.0,66.1,Not Organic but fit for cultivation
92,0.069,19.8,4.68,7.33,18.0,29.8,Organic
93,0.101,17.6,5.9,4.81,26.1,23.7,Organic
94,0.302,27.0,16.7,17.6,54.3,94.3,Not Organic but fit for cultivation
95,0.516,24.2,15.4,25.6,34.8,85.8,Not Organic but fit for cultivation
96,0.199,27.1,14.0,23.4,22.7,51.1,Avoid Pesticide
97,0.157,30.0,9.12,17.8,21.9,45.5,Avoid Pesticide
98,0.217,33.2,28.7,17.6,20.1,69.5,Not Organic but fit for cultivation
99,0.083,17.5,11.3,14.3,53.4,60.1,Not Organic but fit for cultivation
100,0.2,22.2,2.15,6.05,23.0,14.2,Organic
101,0.205,26.0,4.34,6.16,28.7,14.5,Organic
102,0.188,35.9,24.9,23.9,36.0,74.7,Not Organic but fit for cultivation
103,0.274,45.1,34.7,38.7,23.1,105.0,Not Organic but fit for cultivation
104,0.206,28.0,27.9,22.4,42.6,105.0,Not Organic but fit for cultivation
105,0.175,23.1,23.7,19.5,33.3,86.9,Not Organic but fit for cultivation
106,0.179,28.2,14.1,17.7,45.1,45.7,Avoid Pesticide
